,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
4713,1001431,29512,,,,,,,,,,,07:00:00-05:00,13:00:00-05:00,,
4723,1004007,26041,,,,,,,,,,,08:00:00-05:00,11:00:00-05:00,,
4752,1012575,28105,,,,,,,,,,,08:00:00-05:00,10:00:00-05:00,,
4814,1011162,38103,,,,,,,,,,,10:00:00-06:00,13:00:00-06:00,,
4853,1003811,54452,,,,,07:30:00-06:00,13:30:00-06:00,,,,,,,,
4856,1011837,85201,,,,,,,,,09:00:00-07:00,12:00:00-07:00,,,,
4859,1010631,42129,,,,,,,,,,,08:00:00-06:00,13:00:00-06:00,,
4899,1000204,27609,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
4920,1012523,55401,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
4970,1009077,39202,,,,,,,,,,,08:00:00-06:00,14:00:00-06:00,,
4971,1009748,39202,,,08:00:00-06:00,14:00:00-06:00,,,08:00:00-06:00,14:00:00-06:00,,,08:00:00-06:00,14:00:00-06:00,,
4975,1003461,28777,,,,,,,,,,,12:00:00-05:00,16:00:00-05:00,,
4994,1012314,53566,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
4995,1006547,48162,,,,,,,,,,,07:00:00-05:00,13:00:00-05:00,,
5003,1010201,48162,,,07:00:00-05:00,12:00:00-05:00,,,,,,,07:00:00-05:00,12:00:00-05:00,,
5007,1006938,71201,07:00:00-06:00,12:00:00-06:00,,,07:00:00-06:00,12:00:00-06:00,,,07:00:00-06:00,12:00:00-06:00,07:00:00-06:00,12:00:00-06:00,,
5013,1012508,97292,,,,,,,,,,,,,10:00:00-08:00,14:00:00-08:00
5035,1002538,32344,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
5038,1008852,55362,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
5042,1006269,20774,,,,,,,,,,,10:00:00-05:00,23:00:00-05:00,11:00:00-05:00,19:00:00-05:00
5043,1000008,81401,,,,,,,,,,,08:30:00-07:00,13:00:00-07:00,,
5066,1012640,35601,07:00:00-06:00,15:00:00-06:00,07:00:00-06:00,15:00:00-06:00,07:00:00-06:00,15:00:00-06:00,07:00:00-06:00,15:00:00-06:00,07:00:00-06:00,15:00:00-06:00,07:00:00-06:00,15:00:00-06:00,,
5071,1012560,28655,,,,,,,,,,,11:00:00-05:00,15:00:00-05:00,,
5093,1011000,60053,,,,,,,,,,,08:00:00-06:00,13:00:00-06:00,,
