FMID,start,end,zip
1000130,2014-01-01,2014-12-31,37377
1008456,2014-05-20,2014-09-23,97380
1010022,2016-04-26,2016-10-29,72761
1011044,2015-01-01,2015-12-31,90026
1010901,2016-06-07,2016-09-06,66539
1008498,2016-06-01,2016-09-22,89403
1004948,2014-04-22,2014-09-30,98383
1009811,2014-06-10,2014-09-30,80498
1011811,2016-01-01,2016-12-31,93093
1009807,2014-04-26,2014-10-25,55954
1012577,2016-04-01,2016-10-29,30525
1010560,2016-05-04,2016-10-29,51101
1003169,2016-07-02,2016-09-10,99835
1005480,2015-05-14,2015-10-10,13152
1011124,2015-06-07,2015-10-11,61201
1010600,2014-04-05,2014-11-29,42102
1012675,2016-05-07,2016-10-29,16057
1007814,2013-07-01,2013-11-30,63954
1006104,2014-01-01,2014-12-31,20136
1012072,2016-04-28,2016-11-24,22003
1012073,2016-06-19,2016-11-27,20147
1006100,2014-01-01,2014-12-31,22124
1006101,2016-04-20,2016-11-30,20190
1006103,2016-05-07,2016-11-26,22150
1006721,2014-07-01,2014-09-01,66967
1000596,2014-04-06,2014-10-25,23430
1008895,2014-06-12,2014-08-28,19977
1009846,2016-05-07,2016-09-24,30080
1001467,2016-06-03,2016-09-24,30078
1003358,2016-05-05,2016-09-29,98290
1002488,2014-05-01,2014-09-25,21863
1000090,2013-06-01,2013-11-23,11106
1006720,2015-06-10,2015-10-07,14551
1011189,2016-04-02,2016-10-29,42102
1010353,2016-07-17,2016-10-16,95667
1003836,2016-01-01,2016-12-31,92075
1006898,2015-06-13,2016-10-08,49319
1008776,2014-05-24,2014-11-22,15501
1006255,2013-05-18,2013-10-19,95370
1001242,2016-01-01,2016-12-31,94703
1011805,2016-06-18,2016-11-19,10454
1011894,2016-06-18,2016-10-15,14129
1001657,2015-04-04,2015-10-31,27713
1012228,2016-07-22,2016-11-12,49506
1003766,2014-06-21,2014-11-01,49507
1012719,2016-07-23,2016-09-18,81154
1003707,2014-01-01,2014-12-31,90280
1002526,2015-04-18,2015-10-31,23970
1011017,2016-06-11,2016-10-01,60473
1002614,2014-08-02,2014-10-25,84095
1008693,2014-06-10,2014-10-14,68847
1004071,2014-06-03,2014-10-14,96150
1010885,2015-06-04,2015-10-29,48910
1010863,2015-05-02,2015-10-24,48178
1008437,2014-06-11,2014-12-17,68335
1003655,2016-05-12,2016-11-22,38106
1005849,2014-05-24,2014-09-27,46786
1010445,2014-05-08,2014-10-09,53172
1001461,2013-03-14,2013-11-07,91030
1010101,2014-07-06,2014-09-07,80467
1011377,2015-05-02,2015-10-24,94080
1000009,2014-06-14,2014-10-11,53207
1002484,2015-04-04,2015-12-19,46807
1000202,2013-06-02,2013-10-27,68776
1011226,2016-04-30,2016-10-01,64504
1011996,2016-01-01,2016-12-31,22664
1010387,2014-06-01,2014-09-28,98409
1008706,2013-04-06,2013-09-28,65401
1011341,2015-05-03,2015-10-25,98266
1012144,2016-05-01,2016-10-16,98260
1002063,2014-05-16,2014-10-31,14760
1001748,2012-05-01,2012-10-31,27517
1011320,2015-05-12,2015-10-01,46227
1000968,2013-05-01,2013-09-25,28461
1006157,2014-05-01,2014-10-31,63552
1010997,2015-01-01,2015-12-31,33155
1012661,2016-05-28,2016-11-19,20024
1010806,2015-05-23,2015-09-26,40272
1004687,2015-05-02,2015-10-31,80120
1008707,2013-04-03,2013-09-25,65804
