FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1012134,92220,,,18:00:00-08:00,21:00:00-08:00,,,,,,,,,,
1004549,26416,,,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,12:00:00-05:00,,
1008918,11217,,,,,,,,,,,08:00:00-05:00,16:00:00-05:00,,
1007268,40004,,,07:30:00-05:00,12:30:00-05:00,,,,,07:30:00-05:00,12:30:00-05:00,07:30:00-05:00,12:30:00-05:00,,
1003082,14012,,,,,,,17:00:00-05:00,20:00:00-05:00,,,,,,
1005428,54880,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1003976,42142,,,08:00:00-06:00,13:00:00-06:00,,,,,08:00:00-06:00,13:00:00-06:00,,,,
1012205,12719,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
1008194,38134,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
1010197,82410,,,,,16:30:00-07:00,18:00:00-07:00,,,,,,,,
1000436,78602,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00,,
1005439,60510,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1006462,24445,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
1001325,40360,,,08:00:00-05:00,17:00:00-05:00,,,,,08:00:00-05:00,17:00:00-05:00,08:00:00-05:00,17:00:00-05:00,,
1007420,48808,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
1009051,49014,,,,,09:00:00-05:00,13:00:00-05:00,,,,,09:00:00-05:00,13:00:00-05:00,,
1003806,30739,,,,,15:00:00-05:00,18:00:00-05:00,,,,,08:00:00-05:00,12:00:00-05:00,,
1000057,11209,,,,,,,,,,,08:00:00-05:00,15:00:00-05:00,,
1005817,13090,,,,,08:00:00-05:00,17:00:00-05:00,,,,,,,,
1010298,49781,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,
1003912,93412,14:00:00-08:00,16:30:00-08:00,,,,,,,,,,,,
1012753,33931,,,,,09:00:00-05:00,14:00:00-05:00,,,,,,,,
1001852,32266,,,,,,,,,,,14:00:00-05:00,17:00:00-05:00,,
1006359,12508,,,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00
1011153,47448,,,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,
1010739,77707,,,,,,,,,,,08:00:00-06:00,11:00:00-06:00,,
1001275,48073,,,,,,,08:00:00-05:00,14:00:00-05:00,,,,,,
1011675,42320,,,15:00:00-06:00,18:00:00-06:00,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1007999,50310,,,16:30:00-06:00,19:30:00-06:00,,,,,,,,,,
1001403,97075,,,,,,,,,,,08:00:00-08:00,13:30:00-08:00,,
1008103,97075,,,,,03:00:00-08:00,18:00:00-08:00,,,,,,,,
1011291,48182,,,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00
1011041,47421,,,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00
1010175,24523,,,15:00:00-05:00,18:00:00-05:00,,,,,08:00:00-05:00,13:30:00-05:00,,,,
1000497,40214,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
1010368,69345,10:00:00-07:00,18:00:00-07:00,10:00:00-07:00,18:00:00-07:00,,,,,10:00:00-07:00,18:00:00-07:00,10:00:00-07:00,18:00:00-07:00,10:00:00-07:00,18:00:00-07:00
1006161,48462,,,,,,,,,18:00:00-05:00,21:00:00-05:00,,,,
1005696,62320,,,,,15:00:00-06:00,18:00:00-06:00,,,,,,,,
1010607,21014,,,,,,,,,,,07:00:00-05:00,11:00:00-05:00,,
1011913,48809,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1004852,59714,,,,,,,16:00:00-07:00,19:00:00-07:00,,,,,,
1011051,49615,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,,,
1010227,19809,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1011902,66935,,,,,,,,,,,08:00:00-06:00,11:00:00-06:00,,
1008875,62220,,,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,
1001204,49021,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
1002917,98004,,,,,,,15:00:00-08:00,19:00:00-08:00,,,,,,
1008085,98004,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00,,
1010259,68005,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1008140,98226,,,,,12:00:00-08:00,17:00:00-08:00,,,,,,,,
1000940,44813,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
1011488,94002,,,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00
1002064,14813,,,,,,,11:00:00-05:00,17:00:00-05:00,,,,,,
1011363,64012,,,,,,,16:00:00-06:00,19:00:00-06:00,,,,,,
1003956,61008,,,,,,,,,,,09:00:00-06:00,12:30:00-06:00,,
